ID,FINYEAR,LAST_NAME,FIRST_NAME,COLLEGE,MAJOR,FEE_RESIDENCE,AMT_TOTAL
PI0006,2019,Astin,Mandi,Science,"Biological Sciences, BS",Y,10012.0
PI0012,2019,Brearton,Chris,Engineering,"Mechanical Engineering, BS",Y,22262.0
PI0014,2019,Loades,Aymer,Engineering,"Computer Science, BS",Y,14294.0
PI0015,2019,McGann,Henry,Engineering,"Computer Science, BS",Y,21604.0
PI0016,2019,Pape,Merle,Engineering,"Mechanical Engineering, BS",Y,11910.0
PI0019,2019,Davidovicz,Horatia,Science,"Chemistry, BS",Y,11190.09
PI0020,2019,Cockshutt,Oneida,Human Sciences & Education,"Kinesiology, BS",Y,7462.0
PI0023,2019,Pashen,Faith,Science,"Biological Sciences, BS",Y,13626.0
PI0024,2019,Minkin,Halsey,Engineering,"Mechanical Engineering, BS",Y,7462.0
PI0031,2019,Dadswell,Lennard,Human Sciences & Education,"Kinesiology, BS",Y,990.0
PI0040,2019,Addess,Cyrille,Mass Communication,"Mass Communication, BA",Y,9390.0
PI0042,2019,Clack,Vyky,Human Sciences & Education,"Kinesiology, BS",Y,7862.0
PI0043,2019,Scurr,Brod,Mass Communication,"Mass Communication, BA",Y,12428.0
PI0044,2019,Manser,Yancy,Science,"Biological Sciences, BS",Y,7462.0
PI0050,2019,Richter,Dael,Science,"Biological Sciences, BS",Y,9047.0
PI0055,2019,Wimbury,Janelle,Human Sciences & Education,"Kinesiology, BS",Y,6761.0
PI0056,2019,Newcom,Ardyth,Human Sciences & Education,"Kinesiology, BS",Y,28965.87
PI0058,2019,Emmanuele,Glen,Human Sciences & Education,"Kinesiology, BS",Y,13836.0
PI0060,2019,Haily,Troy,Science,"Biological Sciences, BS",Y,11035.0
PI0062,2019,Jecock,Marta,Mass Communication,"Mass Communication, BA",Y,9919.0
PI0066,2019,D'Aguanno,Alfi,Science,"Biological Sciences, BS",Y,23664.0
PI0067,2019,Denisard,Shina,Agriculture,"Animal Sciences, BS",Y,25490.0
PI0073,2019,Seargeant,Doralin,Engineering,"Mechanical Engineering, BS",Y,17828.0
PI0077,2019,Doornbos,Conni,Engineering,"Computer Science, BS",Y,5758.0
PI0079,2019,Beade,Jayson,Mass Communication,"Mass Communication, BA",Y,7462.0
PI0081,2019,Houselee,Car,Science,"Biological Sciences, BS",Y,7359.0
PI0082,2019,Monsey,Gerik,Agriculture,"Animal Sciences, BS",N,11980.0
PI0083,2019,Fuster,Ebony,Business,"Marketing, BS",Y,19389.0
PI0084,2019,Clavering,Erik,Science,"Chemistry, BS",Y,12368.0
PI0085,2019,Struijs,Kary,Human Sciences & Education,"Kinesiology, BS",N,1667.0
PI0094,2019,Burhill,Rodolphe,Mass Communication,"Mass Communication, BA",Y,7462.0
PI0098,2019,Ould,Robbie,Science,"Biological Sciences, BS",Y,6328.0
PI0102,2019,Folkard,Marcelle,Engineering,"Mechanical Engineering, BS",Y,7862.0
PI0103,2019,Rignall,Gizela,Science,"Biological Sciences, BS",Y,13757.0
PI0109,2019,Hovenden,Junette,Science,"Biological Sciences, BS",Y,9206.36
PI0110,2019,Masselin,Kerwinn,Human Sciences & Education,"Kinesiology, BS",Y,3381.0
PI0112,2019,Johl,Jarad,Human Sciences & Education,"Kinesiology, BS",N,20282.0
PI0113,2019,Fasham,Ashil,Science,"Biological Sciences, BS",Y,7862.0
PI0114,2019,Morter,Lezley,Science,"Biological Sciences, BS",Y,20860.0
PI0117,2019,Romme,Ber,Science,"Biological Sciences, BS",Y,23014.0
PI0118,2019,Band,Aldous,Business,"Marketing, BS",Y,7500.0
