ID,TERM_NAME,LAST_NAME,FIRST_NAME,COLLEGE,MAJOR,FEE_RESIDENCE
PI2893,Fall 2018,Abbes,Dilan,Engineering,"Mechanical Engineering, BS in",N
PI1872,Fall 2019,Abeles,Roarke,Science,"Biological Sciences, BS",Y
PI1872,Fall 2020,Abeles,Roarke,Science,"Biological Sciences, BS",Y
PI1472,Fall 2022,Abrahmson,Ingamar,Business,"Marketing, BS",Y
PI0133,Fall 2021,Abrami,Andrew,Engineering,"Mechanical Engineering, BS in",Y
PI0133,Fall 2022,Abrami,Andrew,Engineering,"Mechanical Engineering, BS in",Y
PI1962,Fall 2019,Abramovitz,Rosalyn,Science,"Biological Sciences, BS",Y
PI1962,Fall 2020,Abramovitz,Rosalyn,Science,"Biological Sciences, BS",Y
PI1962,Fall 2021,Abramovitz,Rosalyn,Science,"Biological Sciences, BS",Y
PI1776,Fall 2018,Acomb,Teddie,Agriculture,"Animal Sciences, BS",Y
PI2873,Fall 2018,Acory,Syman,Human Sciences & Education,"Kinesiology, BS",N
PI2873,Fall 2019,Acory,Syman,Human Sciences & Education,"Kinesiology, BS",N
PI2873,Fall 2020,Acory,Syman,Human Sciences & Education,"Kinesiology, BS",N
PI1940,Fall 2018,Acott,Leoine,Science,"Biological Sciences, BS",Y
PI2021,Fall 2020,Adamiec,Rosella,Science,"Biological Sciences, BS",Y
PI2021,Fall 2021,Adamiec,Rosella,Science,"Biological Sciences, BS",Y
PI1568,Fall 2022,Adamolli,Lonna,Business,"Marketing, BS",N
PI2557,Fall 2018,Adamovicz,Emmie,Mass Communication,"Mass Communication, BA in",Y
PI2557,Fall 2019,Adamovicz,Emmie,Mass Communication,"Mass Communication, BA in",Y
PI2557,Fall 2020,Adamovicz,Emmie,Mass Communication,"Mass Communication, BA in",Y
PI1984,Fall 2021,Addenbrooke,Fidelity,Business,"Marketing, BS",Y
PI1984,Fall 2022,Addenbrooke,Fidelity,Business,"Marketing, BS",Y
PI0040,Fall 2018,Addess,Cyrille,Mass Communication,"Mass Communication, BA in",Y
PI0040,Fall 2019,Addess,Cyrille,Mass Communication,"Mass Communication, BA in",Y
PI0040,Fall 2020,Addess,Cyrille,Mass Communication,"Mass Communication, BA in",Y
PI0040,Fall 2021,Addess,Cyrille,Mass Communication,"Mass Communication, BA in",Y
PI1413,Fall 2022,Addionizio,Miof mela,Agriculture,"Animal Sciences, BS",Y
PI1151,Fall 2018,Agent,Genna,Science,"Biological Sciences, BS",Y
PI2035,Fall 2022,Agget,Dud,Engineering,"Mechanical Engineering, BS in",Y
PI1330,Fall 2018,Ahearne,Auberta,Engineering,"Computer Science, BS",Y
PI1330,Fall 2019,Ahearne,Auberta,Engineering,"Computer Science, BS",Y
PI1330,Fall 2020,Ahearne,Auberta,Engineering,"Computer Science, BS",Y
PI1330,Fall 2021,Ahearne,Auberta,Engineering,"Computer Science, BS",Y
PI0718,Fall 2018,Ailmer,Blakeley,Engineering,"Computer Science, BS",N
PI0718,Fall 2019,Ailmer,Blakeley,Engineering,"Computer Science, BS",N
PI0718,Fall 2020,Ailmer,Blakeley,Engineering,"Computer Science, BS",N
PI0718,Fall 2021,Ailmer,Blakeley,Engineering,"Computer Science, BS",N
PI2950,Fall 2020,Ainslie,Calla,Human Sciences & Education,"Kinesiology, BS",Y
PI2950,Fall 2021,Ainslie,Calla,Human Sciences & Education,"Kinesiology, BS",Y
PI2950,Fall 2022,Ainslie,Calla,Human Sciences & Education,"Kinesiology, BS",Y
PI1309,Fall 2018,Airds,Ossie,Engineering,"Computer Science, BS",Y
PI1309,Fall 2019,Airds,Ossie,Engineering,"Computer Science, BS",Y
PI0695,Fall 2022,Aiskrigg,Alis,Engineering,"Mechanical Engineering, BS in",Y
PI2518,Fall 2018,Aisman,Reggie,Engineering,"Computer Science, BS",Y
PI2252,Fall 2022,Akker,Christy,Mass Communication,"Mass Communication, BA in",Y
PI1740,Fall 2018,Alan,Barn,Science,"Mathematics, BS",Y
PI1740,Fall 2019,Alan,Barn,Science,"Mathematics, BS",Y
PI0777,Fall 2020,Albrook,Mitchel,Business,"Marketing, BS",Y
PI2250,Fall 2018,Alden,Vonni,Mass Communication,"Mass Communication, BA in",Y
PI2250,Fall 2019,Alden,Vonni,Mass Communication,"Mass Communication, BA in",Y
PI0727,Fall 2020,Aldersey,Gradey,Engineering,"Computer Science, BS",Y
PI0727,Fall 2021,Aldersey,Gradey,Engineering,"Computer Science, BS",Y
PI0727,Fall 2022,Aldersey,Gradey,Engineering,"Computer Science, BS",Y
PI1555,Fall 2019,Aleavy,Ilaire,Human Sciences & Education,"Kinesiology, BS",Y
PI1555,Fall 2020,Aleavy,Ilaire,Human Sciences & Education,"Kinesiology, BS",Y
PI1555,Fall 2021,Aleavy,Ilaire,Human Sciences & Education,"Kinesiology, BS",Y
PI1555,Fall 2022,Aleavy,Ilaire,Human Sciences & Education,"Kinesiology, BS",Y
PI2371,Fall 2021,Alejo,Theresa,Business,"Marketing, BS",Y
PI2371,Fall 2022,Alejo,Theresa,Business,"Marketing, BS",Y
PI0503,Fall 2018,Alekseev,Baldwin,Agriculture,"Animal Sciences, BS",Y
PI0503,Fall 2019,Alekseev,Baldwin,Agriculture,"Animal Sciences, BS",Y
PI0503,Fall 2020,Alekseev,Baldwin,Agriculture,"Animal Sciences, BS",Y
PI0503,Fall 2021,Alekseev,Baldwin,Agriculture,"Animal Sciences, BS",Y
PI0503,Fall 2022,Alekseev,Baldwin,Agriculture,"Animal Sciences, BS",Y
PI2679,Fall 2018,Aleveque,Kial,Business,"Marketing, BS",Y
PI2679,Fall 2019,Aleveque,Kial,Business,"Marketing, BS",Y
PI2679,Fall 2020,Aleveque,Kial,Business,"Marketing, BS",Y
PI2516,Fall 2018,Alker,Bibbie,Business,"Marketing, BS",N
PI2924,Fall 2018,Allgood,Antons,Science,"Biological Sciences, BS",Y
PI2924,Fall 2019,Allgood,Antons,Science,"Biological Sciences, BS",Y
PI2924,Fall 2020,Allgood,Antons,Science,"Biological Sciences, BS",Y
PI0045,Fall 2019,Alliker,Rosalie,Science,"Biological Sciences, BS",Y
PI0045,Fall 2020,Alliker,Rosalie,Science,"Biological Sciences, BS",Y
PI0045,Fall 2021,Alliker,Rosalie,Science,"Biological Sciences, BS",Y
PI0045,Fall 2022,Alliker,Rosalie,Science,"Biological Sciences, BS",Y
PI1911,Fall 2020,Allin,Jenica,Mass Communication,"Mass Communication, BA in",Y
PI1911,Fall 2021,Allin,Jenica,Mass Communication,"Mass Communication, BA in",Y
PI1911,Fall 2022,Allin,Jenica,Mass Communication,"Mass Communication, BA in",Y
PI2059,Fall 2021,Allingham,Candice,Science,"Biological Sciences, BS",Y
PI2059,Fall 2022,Allingham,Candice,Science,"Biological Sciences, BS",Y
PI0596,Fall 2018,Allmark,Georgetta,Science,"Biological Sciences, BS",Y
PI0596,Fall 2019,Allmark,Georgetta,Science,"Biological Sciences, BS",Y
PI0596,Fall 2020,Allmark,Georgetta,Science,"Biological Sciences, BS",Y
PI0596,Fall 2021,Allmark,Georgetta,Science,"Biological Sciences, BS",Y
PI0772,Fall 2021,Allot,Alphard,Science,"Biological Sciences, BS",Y
PI0772,Fall 2022,Allot,Alphard,Science,"Biological Sciences, BS",Y
PI2272,Fall 2019,Allridge,Geordie,Science,"Biological Sciences, BS",Y
PI1067,Fall 2021,Allsworth,Dorelia,Mass Communication,"Mass Communication, BA in",N
PI1777,Fall 2022,Alpin,Othella,Engineering,"Mechanical Engineering, BS in",N
PI1316,Fall 2021,Altham,Ransom,Business,"Marketing, BS",Y
PI1316,Fall 2022,Altham,Ransom,Business,"Marketing, BS",Y
PI2506,Fall 2018,Aluard,Madlin,Human Sciences & Education,"Kinesiology, BS",Y
PI2506,Fall 2019,Aluard,Madlin,Human Sciences & Education,"Kinesiology, BS",Y
PI0547,Fall 2018,Alwin,Jeffie,Mass Communication,"Mass Communication, BA in",N
PI0547,Fall 2019,Alwin,Jeffie,Mass Communication,"Mass Communication, BA in",N
PI0547,Fall 2020,Alwin,Jeffie,Mass Communication,"Mass Communication, BA in",N
PI0884,Fall 2019,Alyokhin,Alvina,Engineering,"Computer Science, BS",N
PI0884,Fall 2020,Alyokhin,Alvina,Engineering,"Computer Science, BS",N
PI1956,Fall 2018,Ambage,Maddalena,Business,"Marketing, BS",N
PI1956,Fall 2019,Ambage,Maddalena,Business,"Marketing, BS",N
PI1956,Fall 2020,Ambage,Maddalena,Business,"Marketing, BS",Y
PI1956,Fall 2021,Ambage,Maddalena,Business,"Marketing, BS",Y
PI1956,Fall 2022,Ambage,Maddalena,Business,"Marketing, BS",Y
PI0215,Fall 2018,Ambrodi,Aleece,Science,"Biological Sciences, BS",Y
PI0215,Fall 2019,Ambrodi,Aleece,Science,"Biological Sciences, BS",Y
PI1971,Fall 2019,Ambroix,Darla,Science,"Biological Sciences, BS",Y
PI1971,Fall 2020,Ambroix,Darla,Science,"Biological Sciences, BS",Y
PI1971,Fall 2021,Ambroix,Darla,Science,"Biological Sciences, BS",Y
PI2442,Fall 2018,Amer,Granthem,Human Sciences & Education,"Kinesiology, BS",Y
PI0879,Fall 2021,Ancell,Opal,Science,"Chemistry, BS",N
PI2366,Fall 2021,Andrat,Spike,Agriculture,"Animal Sciences, BS",Y
PI2366,Fall 2022,Andrat,Spike,Agriculture,"Animal Sciences, BS",Y
PI2395,Fall 2018,Andraud,Piotr,Science,"Biological Sciences, BS",Y
PI2395,Fall 2019,Andraud,Piotr,Science,"Biological Sciences, BS",Y
PI2395,Fall 2020,Andraud,Piotr,Science,"Biological Sciences, BS",Y
PI1879,Fall 2020,Andreasson,Wayland,Human Sciences & Education,"Kinesiology, BS",Y
PI1879,Fall 2021,Andreasson,Wayland,Human Sciences & Education,"Kinesiology, BS",Y
PI1879,Fall 2022,Andreasson,Wayland,Human Sciences & Education,"Kinesiology, BS",Y
PI1701,Fall 2018,Andreou,Jermaine,Science,"Biological Sciences, BS",Y
PI1701,Fall 2019,Andreou,Jermaine,Science,"Biological Sciences, BS",Y
PI1701,Fall 2020,Andreou,Jermaine,Science,"Biological Sciences, BS",Y
PI1701,Fall 2021,Andreou,Jermaine,Science,"Biological Sciences, BS",Y
PI0377,Fall 2018,Angear,Giffard,Humanities & Social Sciences,"English, BA",Y
PI0377,Fall 2019,Angear,Giffard,Humanities & Social Sciences,"English, BA",Y
PI0377,Fall 2020,Angear,Giffard,Humanities & Social Sciences,"English, BA",Y
PI0377,Fall 2021,Angear,Giffard,Humanities & Social Sciences,"English, BA",Y
PI0377,Fall 2022,Angear,Giffard,Humanities & Social Sciences,"English, BA",Y
PI2605,Fall 2021,Angelini,Randy,Science,"Biological Sciences, BS",N
PI1122,Fall 2018,Angier,Zonda,Mass Communication,"Mass Communication, BA in",Y
PI1122,Fall 2019,Angier,Zonda,Mass Communication,"Mass Communication, BA in",Y
PI1122,Fall 2020,Angier,Zonda,Mass Communication,"Mass Communication, BA in",Y
PI0368,Fall 2021,Angood,Thedric,Mass Communication,"Mass Communication, BA in",Y
PI0527,Fall 2018,Angrock,Karola,Mass Communication,"Mass Communication, BA in",Y
PI0527,Fall 2019,Angrock,Karola,Mass Communication,"Mass Communication, BA in",Y
PI0527,Fall 2020,Angrock,Karola,Mass Communication,"Mass Communication, BA in",Y
PI0527,Fall 2021,Angrock,Karola,Mass Communication,"Mass Communication, BA in",Y
PI1821,Fall 2018,Anneslie,Trenna,Human Sciences & Education,"Kinesiology, BS",N
PI1821,Fall 2019,Anneslie,Trenna,Human Sciences & Education,"Kinesiology, BS",N
PI0563,Fall 2018,Anthes,Thurstan,Engineering,"Computer Science, BS",Y
PI0563,Fall 2019,Anthes,Thurstan,Engineering,"Computer Science, BS",Y
PI2973,Fall 2018,Anthonsen,Margarita,Science,"Biological Sciences, BS",Y
PI2973,Fall 2019,Anthonsen,Margarita,Science,"Biological Sciences, BS",Y
PI2973,Fall 2020,Anthonsen,Margarita,Science,"Biological Sciences, BS",Y
PI2327,Fall 2022,Antosch,Karee,Mass Communication,"Mass Communication, BA in",Y
PI0539,Fall 2020,Antoszewski,Jeromy,SCIENCE,"Biological Sciences, BS",Y
PI0774,Fall 2021,Antuk,Cortney,Human Sciences & Education,"Kinesiology, BS",Y
PI1126,Fall 2022,Antushev,Allyn,Business,"Marketing, BS",Y
PI2334,Fall 2018,Apedaile,Valene,Science,"Biological Sciences, BS",Y
PI2334,Fall 2019,Apedaile,Valene,Science,"Biological Sciences, BS",Y
PI2334,Fall 2020,Apedaile,Valene,Science,"Biological Sciences, BS",Y
PI2071,Fall 2018,Arber,Chaim,Agriculture,"Animal Sciences, BS",N
PI0691,Fall 2022,Arber,Hortense,Humanities & Social Sciences,"English, BA",Y
PI0808,Fall 2021,Ardy,Meghann,Science,"Biological Sciences, BS",Y
PI0808,Fall 2022,Ardy,Meghann,Science,"Biological Sciences, BS",Y
PI1889,Fall 2020,Argrave,Edna,Human Sciences & Education,"Kinesiology, BS",Y
PI0720,Fall 2019,Arguile,Barnett,Science,"Biological Sciences, BS",Y
PI0172,Fall 2021,Aristide,Teresa,Human Sciences & Education,"Kinesiology, BS",Y
PI0172,Fall 2022,Aristide,Teresa,Human Sciences & Education,"Kinesiology, BS",Y
PI2294,Fall 2018,Arnall,Arlyn,Science,"Chemistry, BS",Y
PI2294,Fall 2019,Arnall,Arlyn,Science,"Chemistry, BS",Y
PI2294,Fall 2020,Arnall,Arlyn,Science,"Chemistry, BS",Y
PI2294,Fall 2021,Arnall,Arlyn,Science,"Chemistry, BS",Y
PI0268,Fall 2022,Arney,Cortie,Business,"Marketing, BS",Y
PI0091,Fall 2020,Arnison,Tyson,Agriculture,"Animal Sciences, BS",Y
PI0091,Fall 2021,Arnison,Tyson,Agriculture,"Animal Sciences, BS",Y
PI0091,Fall 2022,Arnison,Tyson,Agriculture,"Animal Sciences, BS",Y
PI0781,Fall 2022,Arnley,Ferd,Mass Communication,"Mass Communication, BA in",Y
PI0843,Fall 2021,Arnold,Neville,Engineering,"Mechanical Engineering, BS in",N
PI0328,Fall 2018,Arnot,Kilian,Science,"Biological Sciences, BS",Y
PI0328,Fall 2019,Arnot,Kilian,Science,"Biological Sciences, BS",Y
PI0233,Fall 2020,Aronowitz,Tracy,Mass Communication,"Mass Communication, BA in",Y
PI0233,Fall 2022,Aronowitz,Tracy,Mass Communication,"Mass Communication, BA in",Y
PI2728,Fall 2022,Aronson,Kellen,Business,"Marketing, BS",Y
PI0388,Fall 2018,Arpin,Cassi,Mass Communication,"Mass Communication, BA in",N
PI0887,Fall 2020,Arsnell,Dulcea,Engineering,"Mechanical Engineering, BS in",Y
PI0887,Fall 2021,Arsnell,Dulcea,Engineering,"Mechanical Engineering, BS in",Y
PI2107,Fall 2021,Arthur,Lavena,Engineering,"Computer Science, BS",Y
PI2107,Fall 2022,Arthur,Lavena,Engineering,"Computer Science, BS",Y
PI2183,Fall 2022,Artiss,Reinaldos,Human Sciences & Education,"Kinesiology, BS",Y
PI1056,Fall 2022,Artois,Rik,Engineering,"Computer Science, BS",Y
PI2347,Fall 2019,Asch,Neal,Human Sciences & Education,"Kinesiology, BS",Y
PI2347,Fall 2020,Asch,Neal,Human Sciences & Education,"Kinesiology, BS",Y
PI2347,Fall 2021,Asch,Neal,Human Sciences & Education,"Kinesiology, BS",Y
PI2347,Fall 2022,Asch,Neal,Human Sciences & Education,"Kinesiology, BS",Y
PI0895,Fall 2022,Ascroft,Alyosha,Mass Communication,"Mass Communication, BA in",N
PI1558,Fall 2021,Ashcroft,Gaven,Science,"Biological Sciences, BS",Y
PI1558,Fall 2022,Ashcroft,Gaven,Science,"Biological Sciences, BS",Y
PI1922,Fall 2018,Asken,Chrissie,Business,"Marketing, BS",Y
PI0697,Fall 2019,Askin,Aloysius,Science,"Biological Sciences, BS",Y
PI1995,Fall 2018,Aspinell,Claudia,Human Sciences & Education,"Kinesiology, BS",Y
PI2046,Fall 2021,Assender,Cort,Business,"Marketing, BS",Y
PI2046,Fall 2022,Assender,Cort,Business,"Marketing, BS",Y
PI1811,Fall 2022,Astell,Gwyn,Humanities & Social Sciences,"English, BA",Y
